LOGRADOURO,BAIRRO,CIDADE,CEP,
Avenida A,Independência (Barreiro),Belo Horizonte,30672772,
Avenida A,Juliana,Belo Horizonte,31744620,
Beco A,Vila Petrópolis (Barreiro),Belo Horizonte,30666482,
Beco A,Átila de Paiva (Barreiro),Belo Horizonte,30640438,
Beco A,Vila Formosa Vale do Jatobá (Barreiro),Belo Horizonte,30668176,
Beco A,Lajedo,Belo Horizonte,31846022,
Beco A,Vila Santa Mônica (Venda Nova),Belo Horizonte,31540083,
Beco A,Madre Gertrudes,Belo Horizonte,30518321,
Beco A,Vila Antena,Belo Horizonte,30451535,
Beco A,São Tomáz,Belo Horizonte,31741051,
Beco A,Independência (Barreiro),Belo Horizonte,30672773,
Beco A,Salgado Filho,Belo Horizonte,30550632,
Rua A,Bonsucesso (Barreiro),Belo Horizonte,30622208,
Rua A,Vila Ecológica (Barreiro),Belo Horizonte,30670572,
Rua A,Itaipu (Barreiro),Belo Horizonte,30692525,
Rua A,Novo Tupi,Belo Horizonte,31846530,
Rua A,Alpes,Belo Horizonte,30451704,
Rua A,João Pinheiro,Belo Horizonte,30530038,
Rua A,Miramar (Barreiro),Belo Horizonte,30642597,
Rua A,Maria Tereza,Belo Horizonte,31873155,
Rua A,Nossa Senhora do Rosário,Belo Horizonte,30260656,
Rua A,Vila Oeste,Belo Horizonte,30532065,
Rua A,Nova Esperança,Belo Horizonte,31230285,
Rua A,Vila Cemig,Belo Horizonte,30624272,
Rua A,Independência (Barreiro),Belo Horizonte,30666552,
Rua A,Lindéia (Barreiro),Belo Horizonte,30692230,
Rua A,Vila Pinho Vale do Jatobá (Barreiro),Belo Horizonte,30670120,
Rua A,Alto dos Pinheiros,Belo Horizonte,30530450,
Rua A,Califórnia,Belo Horizonte,30855080,
Rua A,São Luiz,Belo Horizonte,31270695,
Rua A,Novo Aarão Reis,Belo Horizonte,31845270,
Rua A,Betânia,Belo Horizonte,30514466,
Beco A Seis,Conjunto Paulo VI,Belo Horizonte,31998018,
Beco A Sete,Conjunto Paulo VI,Belo Horizonte,31998022,
Rua A Um,Petrópolis (Barreiro),Belo Horizonte,30664242,
Rua A Um,Betânia,Belo Horizonte,30516024,
Rua A Vinte e Quatro,São Luiz,Belo Horizonte,31270752,
Rua A quatro,Betânia,Belo Horizonte,30590361,
Rua A-1,Marajó,Belo Horizonte,30555310,
Rua A-2,Marajó,Belo Horizonte,30555300,
Beco AA,Vila Barragem Santa Lúcia,Belo Horizonte,30335690,
Rua AH,Conjunto Paulo VI,Belo Horizonte,31998206,
Rua AJ,Conjunto Paulo VI,Belo Horizonte,31998215,
Rua AM,Conjunto Paulo VI,Belo Horizonte,31998228,
Rua Aarão Reis,Centro,Belo Horizonte,30120000,
Rua Abacaba,Suzana,Belo Horizonte,31260420,
Beco Abacate,Vera Cruz,Belo Horizonte,30285186,
Rua Abacuque,Vitória da Conquista (Barreiro),Belo Horizonte,30666785,
Rua Abadessa Gertrudes Prado,Vila Paris,Belo Horizonte,30380790,
Praça Abadia,Esplanada,Belo Horizonte,30280110,
Rua Abadia dos Dourados,Minaslândia (P Maio),Belo Horizonte,31812030,
Rua Abadias,Bonsucesso (Barreiro),Belo Horizonte,30622584,
Rua Abaeté,Bonfim,Belo Horizonte,31210390,
Rua Abati,Santa Maria,Belo Horizonte,30525230,
Rua Abatiá,Conjunto Celso Machado,Belo Horizonte,30882490,
Rua Abaíba,São Paulo,Belo Horizonte,31910020,
Rua Abdala Fábio Couri,Camargos,Belo Horizonte,30525410,
Rua Abdenago Lisboa,Heliópolis,Belo Horizonte,31741600,
Praça Abdo Arges Kalil,Sion,Belo Horizonte,30310590,
Rua Abeilard Pereira,Jardim Atlântico,Belo Horizonte,31555180,
"Rua Abel Araújo
- de 550/551  o fim",São Bento,Belo Horizonte,30350532,
"Rua Abel Araújo
- até 548/549",Santa Lúcia,Belo Horizonte,30350582,
Rua Abel Lobo Cordeiro,São Marcos,Belo Horizonte,31920590,
Rua Abel,Glória,Belo Horizonte,30880270,
Beco Abel Venal,Vera Cruz,Belo Horizonte,30285163,
Rua Abelardo Chacrinha Barbosa,Conjunto Túnel Ibirité (Barreiro),Belo Horizonte,30662750,
Rua Abertada,Flávio Marques Lisboa (Barreiro),Belo Horizonte,30624050,
Rua Abigail Pimentel Tavares,Novo Glória,Belo Horizonte,30870420,
Rua Abigail Toledo de Gouveia,Garças,Belo Horizonte,31545300,
Rua Abiu,Mangueiras (Barreiro),Belo Horizonte,30666232,
Alameda Abiurana,Dom Cabral,Belo Horizonte,30535240,
Rua Abrahão João,Parque São José,Belo Horizonte,30570550,
Rua Abravaí,Vitória da Conquista (Barreiro),Belo Horizonte,30666788,
Rua Abre Campo,Santo Antônio,Belo Horizonte,30350190,
Beco Abreu,Vera Cruz,Belo Horizonte,30285149,
Rua Abrolhos,Santa Efigênia,Belo Horizonte,30260130,
Rua Absintio,Paulo VI,Belo Horizonte,31995240,
Rua Abílio Alves dos Santos,Goiânia,Belo Horizonte,31970080,
Rua Abílio Barreto,Lajedo,Belo Horizonte,31844430,
Rua Abílio Estrela,Jardim Guanabara,Belo Horizonte,31742135,
Rua Abílio Fernandes de Oliveira,Jardim Vitória,Belo Horizonte,31975360,
"Avenida Abílio Machado
- até 899 - lado ímpar",Dom Bosco,Belo Horizonte,30830093,
"Avenida Abílio Machado
- de 901 a 1629 - lado ímpar",Glória,Belo Horizonte,30830233,
"Avenida Abílio Machado
- de 1631 a 2201 - lado ímpar",Glória,Belo Horizonte,30830373,
"Avenida Abílio Machado
- de 2203 ao fim - lado ímpar",Glória,Belo Horizonte,30830433,
"Avenida Abílio Machado
- até 1468 - lado par",Inconfidência,Belo Horizonte,30820272,
"Avenida Abílio Machado
810",Inconfidência,Belo Horizonte,30820959,
"Avenida Abílio Machado
- de 1470 a 2250 - lado par",Alípio de Melo,Belo Horizonte,30820622,
"Avenida Abílio Machado
- de 2252 ao fim - lado par",Alípio de Melo,Belo Horizonte,30830482,
Rua Abílio Machado,Sagrada Família,Belo Horizonte,31030390,
Rua Abílio Meireles,Conjunto Santa Maria,Belo Horizonte,30380440,
Praça Abílio Nunes de Figueiredo,Coração de Jesus,Belo Horizonte,30380255,
Rua Abílio Peres da Silva,São Bernardo,Belo Horizonte,31741430,
Rua Abílio Rodrigues Pereira,Vila Pinho Vale do Jatobá (Barreiro),Belo Horizonte,30670280,
Rua Acadêmico Coutinho,São Gabriel,Belo Horizonte,31980070,
Rua Acaiaca,Dom Bosco,Belo Horizonte,30850160,
Rua Acalifa,Juliana,Belo Horizonte,31744690,
Rua Acarahi,Santa Lúcia,Belo Horizonte,30360700,
Rua Acarapé,Carlos Prates,Belo Horizonte,30710060,
Rua Acaraú,Cidade Jardim,Belo Horizonte,30380020,
Rua Acaé,Alípio de Melo,Belo Horizonte,30830740,
Beco Acesita,Ventosa,Belo Horizonte,30421660,
Rua Acesita,Santa Inês,Belo Horizonte,31080030,
Rua Acesso Bloco Cinco,Conjunto Santa Maria,Belo Horizonte,30380475,
Avenida Acesso Bloco Dez,Conjunto Santa Maria,Belo Horizonte,30380438,
Avenida Acesso Bloco Onze,Conjunto Santa Maria,Belo Horizonte,30380436,
Avenida Acesso Bloco Quatro,Conjunto Santa Maria,Belo Horizonte,30380474,
Avenida Acesso Bloco Seis,Conjunto Santa Maria,Belo Horizonte,30380476,
Avenida Acesso Bloco Três,Conjunto Santa Maria,Belo Horizonte,30380473,
Avenida Acesso Bloco Um,Conjunto Santa Maria,Belo Horizonte,30380471,
Rua Acesso Um,Itaipu (Barreiro),Belo Horizonte,30692515,
Beco Acessório,Santana do Cafezal,Belo Horizonte,30250222,
Beco Acidental,Santana do Cafezal,Belo Horizonte,30250141,
Rua Acidental,Santana do Cafezal,Belo Horizonte,30250140,
Praça Acobane,Nova Esperança,Belo Horizonte,31230475,
Rua Acorde,Santana do Cafezal,Belo Horizonte,30250040,
Rua Acordeon,Santana do Cafezal,Belo Horizonte,30250094,
Rua Acoroatas,Suzana,Belo Horizonte,31260460,
Rua Acuruí,Dom Bosco,Belo Horizonte,30850350,
Rua Acácio Correa Dolabela,Goiânia,Belo Horizonte,31960220,
Rua Acácio Costa Júnior,Juliana,Belo Horizonte,31744490,
Rua Acácio Teles Pereira,Garças,Belo Horizonte,31545020,
Rua Ada,Juliana,Belo Horizonte,31744576,
Rua Ada Von Collani,Goiânia,Belo Horizonte,31960200,
Rua Adalberto Bispo dos Reis,Goiânia,Belo Horizonte,31960162,
Rua Adalberto Fabel,Vista Alegre,Belo Horizonte,30514240,
